Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,45,0,0.0,316.66,86,0,0.0011,347.55,46,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,31,0,0.0,291.99,60,0,0.0047,318.98,33,0,0.0,304.75
August,1,10:00,192,1,0.0036,318.01,365,2,0.0054,330.64,899,9,0.0105,322.71,406,6,0.0136,302.41
August,1,10:30,233,1,0.0044,321.14,411,6,0.0157,328.16,1000,18,0.0182,328.58,445,10,0.0223,313.39
August,1,11:00,247,0,0.0015,321.83,453,6,0.0125,331.74,1066,5,0.0051,335.33,475,6,0.0134,314.06
August,1,11:30,255,0,0.0017,324.54,495,14,0.0282,345.4,1114,9,0.0082,333.44,506,10,0.0194,317.54
August,1,12:00,263,2,0.0063,309.98,550,5,0.0098,336.05,1141,19,0.0167,335.67,518,9,0.0171,311.72
August,1,12:30,262,2,0.0061,323.22,554,8,0.0136,344.63,1140,19,0.0167,340.4,526,6,0.0112,324.18
August,1,13:00,260,2,0.0092,329.46,572,7,0.0115,336.64,1124,11,0.0096,344.59,523,10,0.019,320.97
August,1,13:30,267,1,0.0027,327.38,576,9,0.0149,334.69,1125,13,0.0115,344.92,536,8,0.0157,321.75
August,1,14:00,267,0,0.0017,318.77,602,11,0.0176,344.86,1148,13,0.0114,345.48,549,7,0.0122,317.02
August,1,14:30,277,1,0.005,327.79,612,12,0.0196,341.6,1138,14,0.0121,344.74,549,16,0.0284,324.72
August,1,15:00,272,2,0.0069,316.3,621,4,0.0066,346.79,1128,13,0.0117,345.2,547,14,0.0259,327.76
August,1,15:30,276,3,0.0112,326.83,612,5,0.0086,340.58,1117,19,0.0169,346.46,543,13,0.0248,321.12
August,1,16:00,266,1,0.0025,331.17,612,6,0.0104,352.19,1101,6,0.0058,348.15,559,6,0.011,326.04
August,1,16:30,249,1,0.0023,330.59,587,5,0.0092,342.25,1053,5,0.0043,348.59,532,6,0.0122,319.68
August,1,17:00,219,1,0.006,330.23,562,5,0.0092,344.49,988,7,0.0068,344.52,496,4,0.0077,332.68
August,1,17:30,193,1,0.0051,326.69,517,4,0.0081,349.55,911,6,0.0071,347.39,456,7,0.0155,321.81
August,1,18:00,168,1,0.0046,320.23,479,7,0.0137,351.95,814,7,0.0089,349.06,411,2,0.0052,316.61
August,1,18:30,138,1,0.0063,347.32,422,3,0.0081,336.4,735,3,0.0046,347.39,363,4,0.0106,314.15
August,1,19:00,99,0,0.0034,349.3,390,6,0.0157,340.1,647,6,0.0089,340.22,321,5,0.0156,318.96
August,1,19:30,75,0,0.0026,325.21,337,2,0.0062,324.77,568,5,0.0086,347.3,287,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,15,0,0.0174,362.1,45,1,0.0112,332.11,25,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,9,0,0.0236,362.1,32,0,0.0,302.66,18,0,0.0182,316.69
August,1,20:00,58,0,0.0075,340.58,290,3,0.0111,334.83,485,9,0.0183,342.31,245,7,0.0278,316.31
August,1,20:30,46,1,0.0167,306.58,260,3,0.0118,340.04,416,3,0.0063,333.74,217,2,0.0112,308.5
August,1,21:00,34,1,0.0236,326.06,218,2,0.0103,332.18,345,1,0.0026,339.2,177,10,0.0571,325.55
August,1,21:30,25,0,0.0036,324.62,181,2,0.0107,318.64,282,1,0.0035,336.2,157,6,0.0407,324.14
August,1,22:00,22,0,0.0,322.97,139,0,0.0031,328.83,230,1,0.0034,339.38,126,1,0.0085,314.2
August,1,22:30,16,3,0.1658,377.49,113,0,0.0024,304.68,181,0,0.0013,334.56,103,1,0.0053,304.57
August,1,23:00,13,1,0.1031,328.23,83,0,0.0018,323.5,139,0,0.0,321.6,80,0,0.003,301.03
August,1,23:30,10,1,0.0718,328.23,67,1,0.009,320.14,109,0,0.0,304.41,62,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,6,0,0.0,362.1,22,1,0.0247,324.21,13,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,5,0,0.0,362.1,22,1,0.0302,333.01,9,0,0.0077,326.6
August,1,3:00,1,0,0.0,328.23,5,0,0.0,362.1,16,0,0.0232,348.75,4,0,0.0617,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,18,0,0.0,348.75,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,15,0,0.0111,348.75,1,0,0.0,326.6
August,1,4:30,1,0,0.0,328.23,5,0,0.0,362.1,17,0,0.0059,327.59,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,4,0,0.0,362.1,20,0,0.0106,306.22,2,0,0.0,326.6
August,1,5:30,2,0,0.0,328.23,4,0,0.0,362.1,24,0,0.0108,329.07,4,0,0.0,326.6
August,1,6:00,4,0,0.0333,328.23,8,1,0.1486,362.1,43,0,0.0,289.2,14,0,0.0067,326.6
August,1,6:30,6,3,0.4581,328.23,14,10,0.7425,362.1,69,2,0.0328,269.33,29,3,0.0875,266.35
August,1,7:00,13,3,0.2107,328.23,40,1,0.0128,258.84,117,1,0.0078,274.99,51,1,0.0146,263.61
August,1,7:30,24,3,0.1361,347.33,65,2,0.0363,283.99,190,3,0.0158,269.27,86,1,0.0145,285.84
August,1,8:00,55,0,0.0043,283.37,119,0,0.0012,280.9,324,2,0.0048,289.03,146,2,0.0103,272.24
August,1,8:30,93,0,0.0025,291.36,167,1,0.0089,304.4,458,2,0.0033,308.38,203,4,0.0176,291.01
August,1,9:00,133,0,0.0008,307.96,240,2,0.0068,316.56,628,2,0.0027,314.14,276,2,0.0067,289.27
August,1,9:30,170,1,0.0053,310.78,299,2,0.0076,321.18,787,5,0.0067,306.58,344,7,0.0214,305.55
August,2,0:00,7,0,0.0409,316.72,49,1,0.0191,295.17,74,1,0.0077,322.45,44,0,0.0045,306.86
August,2,0:30,5,0,0.0,316.72,31,0,0.0,324.39,58,0,0.0,323.56,31,0,0.0035,316.98
August,2,10:00,120,1,0.0053,294.11,243,3,0.0103,309.35,569,2,0.0032,312.27,255,3,0.0122,293.97
August,2,10:30,146,0,0.0034,292.68,282,8,0.0282,319.76,641,3,0.0046,324.69,295,9,0.031,295.59
August,2,11:00,167,1,0.0064,300.93,323,3,0.0102,321.93,694,4,0.0051,326.7,332,5,0.0149,303.68
August,2,11:30,172,2,0.0133,296.4,363,7,0.0197,327.1,712,9,0.0126,333.07,349,3,0.0099,305.1
August,2,12:00,185,3,0.0146,301.21,378,4,0.0101,322.95,726,6,0.0078,333.92,366,2,0.0054,310.8
August,2,12:30,197,5,0.0263,302.84,397,8,0.0195,324.66,734,8,0.0114,331.76,377,7,0.0182,304.03
August,2,13:00,193,1,0.0063,305.99,419,11,0.026,326.18,726,7,0.0101,334.46,376,6,0.0157,312.07
August,2,13:30,191,0,0.0019,307.74,438,13,0.0294,321.9,725,15,0.0209,334.26,380,7,0.0193,307.96
August,2,14:00,184,1,0.0073,312.99,445,18,0.0395,329.08,720,10,0.0132,335.49,375,4,0.0099,305.59
August,2,14:30,184,2,0.0094,308.65,442,12,0.0276,334.57,711,4,0.0056,331.14,382,12,0.0318,314.27
August,2,15:00,182,1,0.0028,306.53,434,5,0.0119,325.37,681,0,0.0006,339.28,370,4,0.0117,299.86
August,2,15:30,182,1,0.0037,311.49,427,4,0.0095,319.47,658,1,0.0008,335.99,353,3,0.0084,299.98
August,2,16:00,174,1,0.0038,325.16,423,3,0.0076,333.05,631,1,0.0015,336.14,339,3,0.0079,313.0
August,2,16:30,158,0,0.0019,296.18,401,3,0.0067,338.64,590,1,0.0011,335.26,315,1,0.0045,306.5
August,2,17:00,145,3,0.0188,308.84,385,2,0.0051,333.15,555,1,0.0022,336.83,295,2,0.0065,308.2
August,2,17:30,126,1,0.0091,316.01,361,4,0.0102,336.97,530,1,0.0014,333.6,280,1,0.0023,309.87
August,2,18:00,116,1,0.0072,321.6,330,6,0.0188,343.89,500,2,0.0031,331.89,260,1,0.0034,309.24
August,2,18:30,99,1,0.0074,330.01,304,6,0.0181,333.73,457,2,0.0045,339.84,232,0,0.0009,324.27
August,2,19:00,77,0,0.0028,320.83,270,5,0.0169,332.95,414,3,0.0062,330.84,217,1,0.0042,318.4
August,2,19:30,61,0,0.0063,328.3,242,2,0.0074,318.74,369,6,0.0161,328.84,195,1,0.0028,322.18
August,2,1:00,4,0,0.0222,316.72,16,1,0.0682,351.69,43,0,0.006,314.5,25,0,0.0,323.53
August,2,1:30,2,0,0.037,316.72,8,0,0.0202,351.69,35,0,0.0108,323.38,18,0,0.007,311.75
August,2,20:00,48,0,0.0099,296.97,212,8,0.0387,319.97,329,3,0.0101,335.86,170,1,0.0067,307.1
August,2,20:30,38,1,0.0306,276.25,183,2,0.0116,309.14,281,1,0.0037,329.73,152,1,0.0057,299.47
August,2,21:00,28,1,0.0342,294.85,147,3,0.0215,310.72,236,1,0.0052,331.19,130,3,0.0219,305.62
August,2,21:30,21,0,0.0133,296.99,128,1,0.0106,314.8,193,0,0.0018,332.05,110,0,0.0038,313.38
August,2,22:00,15,0,0.0,316.72,102,1,0.0109,304.08,161,0,0.0027,321.7,92,0,0.0037,297.32
August,2,22:30,11,1,0.0614,316.72,84,1,0.0077,316.57,134,0,0.0,322.91,76,0,0.0028,303.88
August,2,23:00,9,1,0.0661,316.72,65,1,0.0182,291.78,104,0,0.0019,311.88,65,0,0.0,303.25
August,2,23:30,7,0,0.0,316.72,52,0,0.0059,301.19,89,0,0.0,312.48,52,0,0.0064,286.97
August,2,2:00,2,0,0.0,316.72,7,0,0.0,351.69,23,0,0.017,312.33,13,0,0.0053,336.76
August,2,2:30,2,0,0.0,316.72,4,0,0.0,351.69,17,0,0.0,340.16,7,0,0.0,336.76
August,2,3:00,1,0,0.0,316.72,4,0,0.0,351.69,14,0,0.0247,346.33,3,0,0.0,336.76
August,2,3:30,1,0,0.0,316.72,4,0,0.0,351.69,14,0,0.0,346.33,1,0,0.0,0.0
August,2,4:00,1,0,0.0,316.72,3,0,0.0,351.69,12,0,0.0,346.33,0,0,0.0,0.0
August,2,4:30,1,0,0.0,316.72,2,0,0.0,351.69,12,0,0.0053,346.33,0,0,0.0,0.0
August,2,5:00,1,0,0.0,316.72,3,0,0.0,351.69,13,0,0.0,346.33,1,0,0.0,0.0
August,2,5:30,1,0,0.0,316.72,4,0,0.0,351.69,16,0,0.0,308.89,2,0,0.0,336.76
August,2,6:00,2,0,0.0,316.72,5,0,0.0,351.69,24,0,0.0,278.82,9,0,0.0,336.76
August,2,6:30,4,0,0.1095,316.72,9,2,0.2399,351.69,41,0,0.0078,273.86,16,1,0.0394,297.56
August,2,7:00,8,0,0.051,316.72,15,0,0.007,351.69,72,0,0.0048,269.55,30,0,0.0115,262.02
August,2,7:30,15,1,0.0621,316.72,25,0,0.0,313.32,117,1,0.0096,267.04,49,1,0.0158,289.29
August,2,8:00,35,0,0.0079,255.4,45,0,0.0098,295.18,194,1,0.0028,277.61,81,0,0.0036,284.45
August,2,8:30,57,0,0.0019,282.86,69,1,0.0157,308.18,278,1,0.0041,299.54,119,1,0.0057,278.64
August,2,9:00,78,0,0.0014,281.18,142,1,0.0082,287.36,380,2,0.0041,295.48,172,1,0.0068,287.26
August,2,9:30,96,1,0.0082,276.87,193,2,0.0107,307.73,464,8,0.018,314.12,214,3,0.014,280.55
August,3,0:00,4,0,0.0476,331.61,37,1,0.0284,288.6,59,0,0.0079,293.92,39,0,0.0031,279.14
August,3,0:30,4,0,0.1125,331.61,28,1,0.0291,262.72,45,0,0.0036,328.24,28,0,0.0,292.48
August,3,10:00,27,0,0.0,293.17,123,0,0.004,299.71,305,1,0.0024,294.74,139,2,0.0128,294.97
August,3,10:30,36,0,0.0,281.17,142,1,0.0051,313.86,355,1,0.0021,300.89,170,8,0.0464,305.9
August,3,11:00,36,0,0.0,281.57,156,0,0.0023,306.02,387,1,0.0022,308.62,189,3,0.0137,295.05
August,3,11:30,42,0,0.0,298.89,184,2,0.0126,301.28,426,2,0.004,312.89,202,2,0.0098,301.85
August,3,12:00,57,0,0.0,284.72,205,1,0.0044,297.57,458,0,0.001,310.49,216,1,0.0062,294.54
August,3,12:30,70,1,0.01,292.9,232,4,0.0172,307.84,464,2,0.005,310.16,218,1,0.0067,294.5
August,3,13:00,86,2,0.0254,301.87,258,2,0.0072,299.76,482,3,0.0066,325.41,225,3,0.0153,301.71
August,3,13:30,93,1,0.0098,287.53,273,3,0.0104,304.72,481,7,0.0149,318.31,235,2,0.0092,302.38
August,3,14:00,96,1,0.0062,300.06,296,2,0.0064,313.46,482,3,0.0053,325.41,234,1,0.0043,298.46
August,3,14:30,96,2,0.0206,303.91,291,1,0.002,307.5,478,1,0.0027,319.27,241,3,0.0113,300.29
August,3,15:00,91,1,0.0159,303.24,303,0,0.0005,310.52,475,0,0.0006,326.07,236,0,0.0009,309.09
August,3,15:30,93,2,0.0176,297.57,312,1,0.0029,308.7,464,1,0.0017,321.68,237,3,0.0141,300.62
August,3,16:00,92,0,0.0,301.31,306,1,0.0027,304.68,460,1,0.0026,318.63,221,1,0.0053,312.9
August,3,16:30,83,0,0.0,282.99,289,0,0.0012,301.42,448,2,0.004,324.4,219,2,0.0091,307.59
August,3,17:00,72,0,0.0028,297.42,281,2,0.0073,312.85,422,1,0.0023,325.15,211,1,0.0031,310.76
August,3,17:30,68,0,0.0054,277.25,261,2,0.0061,313.17,394,0,0.0011,316.34,202,1,0.0036,306.94
August,3,18:00,51,0,0.0021,300.95,245,1,0.0049,306.68,355,0,0.0,325.86,189,1,0.0057,301.33
August,3,18:30,43,0,0.0032,287.8,220,2,0.0112,310.46,331,1,0.0018,321.69,178,1,0.003,301.94
August,3,19:00,36,0,0.0,282.88,197,1,0.0073,295.73,297,0,0.0,322.95,160,0,0.0008,301.38
August,3,19:30,32,0,0.0031,273.0,176,1,0.0044,311.31,271,1,0.0031,324.1,157,0,0.0024,315.93
August,3,1:00,2,0,0.0476,331.61,14,0,0.0,348.61,34,1,0.0172,292.3,21,0,0.0,307.83
August,3,1:30,2,0,0.0,331.61,9,0,0.0,348.61,27,0,0.0,272.09,18,0,0.0,340.62
August,3,20:00,28,0,0.0042,297.17,153,0,0.0023,309.13,245,0,0.0018,320.96,142,1,0.0096,315.34
August,3,20:30,24,0,0.0106,289.08,139,0,0.0013,305.89,221,0,0.0012,319.99,126,0,0.0032,299.86
August,3,21:00,21,0,0.023,279.7,123,0,0.0,303.19,194,0,0.0,314.76,106,1,0.0074,307.01
August,3,21:30,17,0,0.0,341.49,107,1,0.0052,313.49,167,0,0.0016,308.13,91,0,0.0,312.19
August,3,22:00,15,0,0.0,331.61,88,0,0.0032,316.98,145,0,0.0,317.53,80,1,0.0113,316.5
August,3,22:30,13,1,0.1058,331.61,69,0,0.0,300.78,125,1,0.0052,313.23,69,0,0.0059,306.16
August,3,23:00,9,0,0.0417,331.61,58,0,0.0,256.83,101,0,0.0,313.97,57,0,0.002,309.3
August,3,23:30,7,0,0.0156,331.61,47,0,0.0,275.34,84,0,0.0017,306.43,50,1,0.0119,327.18
August,3,2:00,1,0,0.0,331.61,6,0,0.0,348.61,22,0,0.0133,316.3,13,0,0.0039,329.76
August,3,2:30,1,0,0.0,331.61,4,0,0.0,348.61,16,0,0.0,342.93,9,0,0.0,329.76
August,3,3:00,1,0,0.0,331.61,4,0,0.0,348.61,14,0,0.0347,342.93,3,0,0.0312,329.76
August,3,3:30,1,0,0.0,331.61,3,0,0.0,348.61,10,0,0.0,342.93,1,0,0.0,329.76
August,3,4:00,1,0,0.0,331.61,2,0,0.0,348.61,10,0,0.0,342.93,0,0,0.0,0.0
August,3,4:30,1,0,0.0,331.61,2,0,0.0,348.61,8,0,0.0,342.93,0,0,0.0,0.0
August,3,5:00,1,0,0.0,331.61,2,0,0.0,348.61,11,0,0.0,342.93,1,0,0.0,329.76
August,3,5:30,2,0,0.0,331.61,3,0,0.0238,348.61,12,0,0.0,342.93,2,0,0.0,0.0
August,3,6:00,2,0,0.0,331.61,3,0,0.0,348.61,18,0,0.0,266.78,6,0,0.0,329.76
August,3,6:30,2,0,0.0,331.61,5,0,0.0,348.61,28,0,0.0171,257.41,11,0,0.0104,329.76
August,3,7:00,5,0,0.0,331.61,9,0,0.0,348.61,43,0,0.0,270.78,19,0,0.0,296.16
August,3,7:30,7,0,0.0,331.61,13,0,0.0,348.61,69,0,0.0043,264.66,32,0,0.0078,293.11
August,3,8:00,12,0,0.0114,331.61,24,0,0.0,277.04,107,0,0.0,281.21,51,0,0.0085,283.16
August,3,8:30,15,0,0.0,282.64,38,0,0.0,301.92,149,0,0.0028,286.62,70,0,0.0,302.87
August,3,9:00,20,0,0.0,248.61,76,0,0.0018,298.1,197,0,0.0,297.05,99,1,0.0074,294.34
August,3,9:30,25,0,0.0,296.56,100,0,0.0,308.2,251,0,0.0013,293.7,119,0,0.0034,276.26
August,4,0:00,5,0,0.0,307.45,29,0,0.0153,341.0,66,0,0.007,317.6,39,0,0.003,302.73
August,4,0:30,3,0,0.0,307.45,20,0,0.0,316.17,48,0,0.0,306.89,26,0,0.0,324.83
August,4,10:00,211,1,0.0029,320.45,374,2,0.0055,328.07,927,8,0.0083,327.38,435,5,0.0106,312.11
August,4,10:30,234,1,0.0042,309.81,422,10,0.0226,337.1,1032,16,0.0155,336.26,491,12,0.024,315.67
August,4,11:00,246,0,0.0013,320.69,467,4,0.0077,338.66,1118,6,0.0056,344.52,529,5,0.0092,319.95
August,4,11:30,254,0,0.0,331.05,498,7,0.0141,340.45,1150,13,0.0109,347.79,551,7,0.013,320.39
August,4,12:00,254,1,0.0032,316.1,538,3,0.0064,336.55,1184,13,0.0113,346.54,587,10,0.0164,323.72
August,4,12:30,260,1,0.0022,313.5,557,8,0.0139,343.99,1189,16,0.0137,348.31,593,12,0.021,323.01
August,4,13:00,262,1,0.0032,309.82,577,4,0.0074,343.72,1181,8,0.0065,351.39,595,7,0.0118,324.36
August,4,13:30,260,1,0.0022,325.44,589,10,0.017,337.41,1178,13,0.0114,355.22,600,5,0.0091,321.23
August,4,14:00,264,1,0.0029,324.25,611,5,0.0075,336.19,1199,10,0.0087,358.09,620,5,0.0078,317.51
August,4,14:30,274,3,0.0094,325.74,615,5,0.0076,338.78,1206,26,0.0219,355.64,632,10,0.0152,326.33
August,4,15:00,269,1,0.0041,320.39,617,3,0.0044,341.01,1217,10,0.0083,355.38,632,4,0.0063,326.39
August,4,15:30,278,2,0.0062,327.66,617,2,0.0035,342.97,1201,4,0.0037,358.78,626,6,0.0096,328.82
August,4,16:00,266,0,0.0016,334.44,618,2,0.0034,341.49,1201,3,0.0021,355.59,632,2,0.0036,332.81
August,4,16:30,256,0,0.0009,324.51,605,4,0.0067,351.34,1159,3,0.0022,356.91,611,5,0.0086,335.86
August,4,17:00,231,1,0.0045,327.66,579,3,0.0044,347.13,1102,4,0.0037,353.24,585,3,0.0043,337.78
August,4,17:30,213,1,0.0031,319.85,545,2,0.003,349.45,1016,4,0.0044,357.01,541,5,0.0084,330.68
August,4,18:00,178,0,0.0022,311.24,493,2,0.0048,349.93,941,9,0.0099,353.56,497,2,0.0036,333.04
August,4,18:30,155,1,0.0051,333.56,457,4,0.0094,340.72,836,4,0.0043,356.09,441,1,0.003,333.94
August,4,19:00,109,0,0.0,329.9,411,4,0.01,351.81,738,5,0.007,359.54,402,2,0.0057,320.32
August,4,19:30,85,1,0.0127,333.14,379,3,0.0077,337.98,662,6,0.0098,356.63,365,8,0.0211,333.43
August,4,1:00,2,0,0.0,307.45,11,0,0.0,321.84,34,0,0.0053,311.3,18,0,0.0,331.02
August,4,1:30,1,0,0.0,307.45,7,0,0.0,321.84,25,0,0.0083,326.17,14,0,0.0046,311.48
August,4,20:00,63,1,0.0094,323.9,337,4,0.0129,335.1,577,6,0.0097,358.85,319,6,0.0193,321.32
August,4,20:30,48,1,0.0233,328.13,276,2,0.006,326.46,486,1,0.0028,348.04,274,2,0.0088,322.98
August,4,21:00,39,1,0.0276,328.39,225,2,0.0085,329.66,405,1,0.0022,351.94,229,3,0.0144,327.28
August,4,21:30,30,1,0.0294,321.33,172,0,0.0015,334.59,343,0,0.001,342.73,186,1,0.003,336.5
August,4,22:00,23,0,0.0,324.45,134,0,0.0021,319.03,269,1,0.002,335.93,154,1,0.0065,325.21
August,4,22:30,17,3,0.1631,326.39,104,0,0.0013,311.79,212,0,0.0016,328.33,127,0,0.0037,324.05
August,4,23:00,14,0,0.0209,307.45,77,0,0.0013,300.12,163,0,0.0006,322.36,100,1,0.0056,334.1
August,4,23:30,9,0,0.0,307.45,56,0,0.0,296.66,120,0,0.0008,338.92,72,0,0.0034,317.75
August,4,2:00,2,0,0.0,307.45,6,0,0.0,321.84,17,0,0.0224,296.13,10,0,0.0393,311.48
August,4,2:30,1,0,0.0,307.45,5,0,0.0,321.84,15,1,0.0528,341.43,9,0,0.0168,311.48
August,4,3:00,1,0,0.0,307.45,3,0,0.0,321.84,12,0,0.0283,340.48,6,0,0.031,311.48
August,4,3:30,1,0,0.0,307.45,2,0,0.0,321.84,10,0,0.0,340.48,5,0,0.0492,311.48
August,4,4:00,0,0,0.0,307.45,2,0,0.0,321.84,10,0,0.0,340.48,5,0,0.0309,311.48
August,4,4:30,1,0,0.0,307.45,2,0,0.0,321.84,10,0,0.0,340.48,5,0,0.05,311.48
August,4,5:00,1,0,0.0,307.45,2,0,0.0,321.84,12,0,0.0,340.48,5,0,0.01,311.48
August,4,5:30,2,0,0.0,307.45,4,0,0.0,321.84,17,0,0.0111,271.64,6,0,0.0,311.48
August,4,6:00,2,0,0.0,307.45,5,0,0.0,321.84,29,0,0.0,267.44,13,0,0.0,311.48
August,4,6:30,4,1,0.1317,307.45,10,2,0.2186,321.84,49,0,0.008,286.35,23,0,0.0154,253.42
August,4,7:00,9,0,0.0,307.45,27,0,0.0042,280.31,89,0,0.0,258.75,39,0,0.0031,279.54
August,4,7:30,19,0,0.0122,307.45,49,1,0.0181,284.43,152,0,0.0024,260.06,66,1,0.0076,269.43
August,4,8:00,49,0,0.0053,285.05,95,0,0.0042,282.15,279,0,0.0015,292.13,125,0,0.0017,269.12
August,4,8:30,87,1,0.0125,306.61,150,2,0.0139,299.09,431,1,0.0013,300.23,194,2,0.0106,286.38
August,4,9:00,132,1,0.0039,299.82,229,0,0.0011,305.91,607,2,0.0026,312.12,292,1,0.0039,292.17
August,4,9:30,177,1,0.006,318.58,295,1,0.0037,319.82,779,8,0.0099,323.78,363,7,0.0201,304.59
August,5,0:00,6,0,0.0,289.73,41,0,0.0,304.83,82,0,0.0019,328.07,50,0,0.0093,313.71
August,5,0:30,5,0,0.0,289.73,28,0,0.0,310.65,60,0,0.0,336.74,36,0,0.0,334.47
August,5,10:00,197,1,0.0033,315.16,336,1,0.003,314.91,839,4,0.0044,325.04,404,2,0.0051,306.57
August,5,10:30,218,0,0.0017,313.9,378,5,0.013,327.72,935,10,0.0103,334.12,445,8,0.0172,306.9
August,5,11:00,233,1,0.004,317.36,421,2,0.0037,331.92,1002,4,0.0037,337.2,479,6,0.0121,323.16
