Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,47,0,0.0,316.66,85,0,0.0011,347.55,47,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,31,0,0.0,291.99,63,0,0.0047,318.98,34,0,0.0,304.75
August,1,10:00,196,1,0.0036,318.01,360,2,0.0054,330.64,894,9,0.0105,322.71,399,5,0.0136,302.41
August,1,10:30,226,1,0.0044,321.14,409,6,0.0157,328.16,991,18,0.0182,328.58,442,10,0.0223,313.39
August,1,11:00,244,0,0.0015,321.83,455,6,0.0125,331.74,1060,5,0.0051,335.33,475,6,0.0134,314.06
August,1,11:30,255,0,0.0017,324.54,497,14,0.0282,345.4,1108,9,0.0082,333.44,501,10,0.0194,317.54
August,1,12:00,261,2,0.0063,309.98,537,5,0.0098,336.05,1132,19,0.0167,335.67,515,9,0.0171,311.72
August,1,12:30,262,2,0.0061,323.22,555,8,0.0136,344.63,1135,19,0.0167,340.4,524,6,0.0112,324.18
August,1,13:00,262,2,0.0092,329.46,571,7,0.0115,336.64,1131,11,0.0096,344.59,528,10,0.019,320.97
August,1,13:30,266,1,0.0027,327.38,581,9,0.0149,334.69,1131,13,0.0115,344.92,537,8,0.0157,321.75
August,1,14:00,269,0,0.0017,318.77,599,11,0.0176,344.86,1139,13,0.0114,345.48,545,7,0.0122,317.02
August,1,14:30,274,1,0.005,327.79,610,12,0.0196,341.6,1136,14,0.0121,344.74,548,16,0.0284,324.72
August,1,15:00,274,2,0.0069,316.3,617,4,0.0066,346.79,1129,13,0.0117,345.2,549,14,0.0259,327.76
August,1,15:30,273,3,0.0112,326.83,613,5,0.0086,340.58,1115,19,0.0169,346.46,548,14,0.0248,321.12
August,1,16:00,263,1,0.0025,331.17,606,6,0.0104,352.19,1092,6,0.0058,348.15,548,6,0.011,326.04
August,1,16:30,245,1,0.0023,330.59,585,5,0.0092,342.25,1048,5,0.0043,348.59,528,6,0.0122,319.68
August,1,17:00,220,1,0.006,330.23,558,5,0.0092,344.49,984,7,0.0068,344.52,496,4,0.0077,332.68
August,1,17:30,194,1,0.0051,326.69,517,4,0.0081,349.55,906,6,0.0071,347.39,454,7,0.0155,321.81
August,1,18:00,166,1,0.0046,320.23,476,7,0.0137,351.95,818,7,0.0089,349.06,410,2,0.0052,316.61
August,1,18:30,136,1,0.0063,347.32,428,3,0.0081,336.4,734,3,0.0046,347.39,365,4,0.0106,314.15
August,1,19:00,103,0,0.0034,349.3,385,6,0.0157,340.1,648,6,0.0089,340.22,323,5,0.0156,318.96
August,1,19:30,78,0,0.0026,325.21,338,2,0.0062,324.77,568,5,0.0086,347.3,286,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,18,0,0.0174,362.1,46,1,0.0112,332.11,25,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,11,0,0.0236,362.1,33,0,0.0,302.66,19,0,0.0182,316.69
August,1,20:00,59,0,0.0075,340.58,295,3,0.0111,334.83,488,9,0.0183,342.31,248,7,0.0278,316.31
August,1,20:30,46,1,0.0167,306.58,258,3,0.0118,340.04,416,3,0.0063,333.74,215,2,0.0112,308.5
August,1,21:00,35,1,0.0236,326.06,218,2,0.0103,332.18,347,1,0.0026,339.2,182,10,0.0571,325.55
August,1,21:30,27,0,0.0036,324.62,181,2,0.0107,318.64,285,1,0.0035,336.2,155,6,0.0407,324.14
August,1,22:00,21,0,0.0,322.97,143,0,0.0031,328.83,231,1,0.0034,339.38,127,1,0.0085,314.2
August,1,22:30,17,3,0.1658,377.49,113,0,0.0024,304.68,183,0,0.0013,334.56,104,1,0.0053,304.57
August,1,23:00,13,1,0.1031,328.23,86,0,0.0018,323.5,143,0,0.0,321.6,81,0,0.003,301.03
August,1,23:30,10,1,0.0718,328.23,66,1,0.009,320.14,111,0,0.0,304.41,63,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,7,0,0.0,362.1,25,1,0.0247,324.21,13,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,6,0,0.0,362.1,21,1,0.0302,333.01,9,0,0.0077,326.6
August,1,3:00,1,0,0.0,328.23,5,0,0.0,362.1,18,0,0.0232,348.75,5,0,0.0617,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,17,0,0.0,348.75,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,16,0,0.0111,348.75,2,0,0.0,326.6
August,1,4:30,2,0,0.0,328.23,4,0,0.0,362.1,17,0,0.0059,327.59,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,4,0,0.0,362.1,20,0,0.0106,306.22,3,0,0.0,326.6
August,1,5:30,2,0,0.0,328.23,5,0,0.0,362.1,28,0,0.0108,329.07,7,0,0.0,326.6
August,1,6:00,4,0,0.0333,328.23,9,1,0.1486,362.1,45,0,0.0,289.2,16,0,0.0067,326.6
August,1,6:30,7,3,0.4581,328.23,19,14,0.7425,362.1,75,2,0.0328,269.33,31,3,0.0875,266.35
August,1,7:00,15,3,0.2107,328.23,42,1,0.0128,258.84,127,1,0.0078,274.99,56,1,0.0146,263.61
August,1,7:30,30,4,0.1361,347.33,72,3,0.0363,283.99,207,3,0.0158,269.27,92,1,0.0145,285.84
August,1,8:00,58,0,0.0043,283.37,120,0,0.0012,280.9,327,2,0.0048,289.03,146,2,0.0103,272.24
August,1,8:30,94,0,0.0025,291.36,173,2,0.0089,304.4,468,2,0.0033,308.38,207,4,0.0176,291.01
August,1,9:00,131,0,0.0008,307.96,238,2,0.0068,316.56,625,2,0.0027,314.14,276,2,0.0067,289.27
August,1,9:30,167,1,0.0053,310.78,300,2,0.0076,321.18,773,5,0.0067,306.58,341,7,0.0214,305.55
August,2,0:00,6,0,0.0409,316.72,45,1,0.0191,295.17,73,1,0.0077,322.45,43,0,0.0045,306.86
August,2,0:30,5,0,0.0,316.72,31,0,0.0,324.39,59,0,0.0,323.56,33,0,0.0035,316.98
August,2,10:00,121,1,0.0053,294.11,240,2,0.0103,309.35,561,2,0.0032,312.27,255,3,0.0122,293.97
August,2,10:30,144,0,0.0034,292.68,283,8,0.0282,319.76,633,3,0.0046,324.69,293,9,0.031,295.59
August,2,11:00,163,1,0.0064,300.93,322,3,0.0102,321.93,684,3,0.0051,326.7,326,5,0.0149,303.68
August,2,11:30,174,2,0.0133,296.4,356,7,0.0197,327.1,711,9,0.0126,333.07,349,3,0.0099,305.1
August,2,12:00,185,3,0.0146,301.21,379,4,0.0101,322.95,724,6,0.0078,333.92,365,2,0.0054,310.8
August,2,12:30,193,5,0.0263,302.84,399,8,0.0195,324.66,730,8,0.0114,331.76,374,7,0.0182,304.03
August,2,13:00,193,1,0.0063,305.99,418,11,0.026,326.18,727,7,0.0101,334.46,377,6,0.0157,312.07
August,2,13:30,191,0,0.0019,307.74,434,13,0.0294,321.9,725,15,0.0209,334.26,379,7,0.0193,307.96
August,2,14:00,186,1,0.0073,312.99,442,17,0.0395,329.08,718,9,0.0132,335.49,378,4,0.0099,305.59
