Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,8,0,0.0,328.23,43,0,0.0,321.01,82,0,0.0,347.52,43,0,0.0028,332.18
August,1,0:30,6,0,0.0,328.23,29,0,0.0,300.28,69,0,0.0053,321.2,34,0,0.0,305.21
August,1,10:00,191,1,0.0032,319.56,356,2,0.0057,332.31,985,11,0.0115,324.15,418,5,0.011,301.7
August,1,10:30,235,1,0.0044,321.34,408,6,0.0152,329.57,1009,20,0.0197,330.06,455,11,0.0233,313.1
August,1,11:00,265,0,0.0016,320.36,434,6,0.0135,333.78,1135,5,0.0047,334.91,486,7,0.0149,315.67
August,1,11:30,252,0,0.0009,324.46,511,14,0.028,346.31,1121,8,0.0073,332.77,522,9,0.0177,319.56
August,1,12:00,264,2,0.0061,310.0,583,4,0.0068,334.96,1166,18,0.0158,336.11,528,6,0.0115,311.66
August,1,12:30,264,2,0.0068,324.39,543,6,0.0119,346.38,1122,18,0.0161,340.8,543,6,0.0106,322.58
August,1,13:00,258,3,0.0097,331.11,576,6,0.0112,337.18,1110,12,0.0105,345.88,503,8,0.0154,320.18
August,1,13:30,265,1,0.003,325.68,596,8,0.014,335.63,1121,11,0.0099,345.38,548,7,0.0128,320.64
August,1,14:00,261,0,0.0018,317.04,632,12,0.0185,347.41,1145,10,0.009,345.94,550,7,0.0133,315.26
August,1,14:30,271,1,0.0047,329.48,574,11,0.0192,343.17,1132,12,0.0103,342.76,539,13,0.0243,322.55
August,1,15:00,282,2,0.0063,315.07,614,3,0.0056,346.63,1187,11,0.0096,345.72,551,10,0.0178,325.75
August,1,15:30,283,3,0.0119,324.8,543,4,0.0079,341.01,1154,20,0.0174,348.22,543,13,0.0244,321.12
August,1,16:00,266,1,0.0019,333.65,525,4,0.0078,352.14,1160,4,0.0037,347.27,558,7,0.012,325.9
August,1,16:30,246,1,0.0021,330.15,604,5,0.0078,342.99,1052,4,0.0042,349.5,524,6,0.0123,317.93
August,1,17:00,215,1,0.0067,329.94,553,4,0.0078,345.31,998,6,0.0065,344.52,478,3,0.0073,334.32
August,1,17:30,196,1,0.0043,327.9,490,3,0.0071,351.04,913,6,0.0063,348.02,454,6,0.013,323.02
August,1,18:00,179,1,0.0051,322.77,405,4,0.0111,351.78,776,6,0.0075,348.8,410,1,0.0036,316.96
August,1,18:30,145,1,0.0059,345.5,433,2,0.0043,337.78,725,3,0.0036,348.1,358,3,0.0078,312.71
August,1,19:00,98,0,0.0024,347.94,434,6,0.0131,337.6,627,4,0.0068,339.86,334,4,0.0127,316.41
August,1,19:30,66,0,0.0015,327.59,352,2,0.0056,325.74,546,2,0.0033,350.2,283,6,0.0222,322.58
August,1,1:00,5,0,0.0,328.23,16,0,0.0193,382.31,41,0,0.0091,331.15,25,0,0.0051,344.11
August,1,1:30,3,0,0.0,328.23,9,0,0.0262,362.1,29,0,0.0,298.14,17,0,0.0203,320.35
August,1,20:00,55,0,0.0057,333.5,308,3,0.0098,333.86,446,6,0.0139,340.66,238,4,0.0188,316.66
August,1,20:30,42,1,0.0148,305.93,279,2,0.0079,336.97,387,1,0.0017,333.11,224,2,0.0088,305.54
August,1,21:00,32,1,0.0214,331.6,207,2,0.0085,334.22,310,1,0.0019,340.79,171,9,0.0507,319.09
