Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,43,0,0.0,316.66,84,0,0.0011,347.55,45,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,30,0,0.0,291.99,55,0,0.0047,318.98,30,0,0.0,304.75
August,1,10:00,183,1,0.0036,318.01,362,2,0.0054,330.64,879,9,0.0105,322.71,401,5,0.0136,302.41
August,1,10:30,233,1,0.0044,321.14,404,6,0.0157,328.16,980,18,0.0182,328.58,434,10,0.0223,313.39
August,1,11:00,244,0,0.0015,321.83,439,5,0.0125,331.74,1041,5,0.0051,335.33,462,6,0.0134,314.06
August,1,11:30,249,0,0.0017,324.54,482,14,0.0282,345.4,1088,9,0.0082,333.44,496,10,0.0194,317.54
August,1,12:00,260,2,0.0063,309.98,549,5,0.0098,336.05,1117,19,0.0167,335.67,505,9,0.0171,311.72
August,1,12:30,256,2,0.0061,323.22,539,7,0.0136,344.63,1111,19,0.0167,340.4,514,6,0.0112,324.18
August,1,13:00,252,2,0.0092,329.46,559,6,0.0115,336.64,1086,10,0.0096,344.59,503,10,0.019,320.97
August,1,13:30,262,1,0.0027,327.38,557,8,0.0149,334.69,1087,13,0.0115,344.92,520,8,0.0157,321.75
August,1,14:00,259,0,0.0017,318.77,590,10,0.0176,344.86,1124,13,0.0114,345.48,537,7,0.0122,317.02
August,1,14:30,274,1,0.005,327.79,599,12,0.0196,341.6,1106,13,0.0121,344.74,535,15,0.0284,324.72
August,1,15:00,264,2,0.0069,316.3,610,4,0.0066,346.79,1094,13,0.0117,345.2,530,14,0.0259,327.76
August,1,15:30,273,3,0.0112,326.83,595,5,0.0086,340.58,1087,18,0.0169,346.46,523,13,0.0248,321.12
August,1,16:00,263,1,0.0025,331.17,602,6,0.0104,352.19,1079,6,0.0058,348.15,555,6,0.011,326.04
August,1,16:30,246,1,0.0023,330.59,575,5,0.0092,342.25,1028,4,0.0043,348.59,521,6,0.0122,319.68
August,1,17:00,213,1,0.006,330.23,552,5,0.0092,344.49,964,7,0.0068,344.52,482,4,0.0077,332.68
August,1,17:30,187,1,0.0051,326.69,504,4,0.0081,349.55,890,6,0.0071,347.39,444,7,0.0155,321.81
August,1,18:00,167,1,0.0046,320.23,471,6,0.0137,351.95,786,7,0.0089,349.06,401,2,0.0052,316.61
August,1,18:30,137,1,0.0063,347.32,407,3,0.0081,336.4,716,3,0.0046,347.39,350,4,0.0106,314.15
August,1,19:00,93,0,0.0034,349.3,385,6,0.0157,340.1,627,6,0.0089,340.22,311,5,0.0156,318.96
August,1,19:30,70,0,0.0026,325.21,328,2,0.0062,324.77,552,5,0.0086,347.3,280,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,12,0,0.0174,362.1,43,0,0.0112,332.11,24,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,8,0,0.0236,362.1,31,0,0.0,302.66,17,0,0.0182,316.69
August,1,20:00,55,0,0.0075,340.58,278,3,0.0111,334.83,468,9,0.0183,342.31,236,7,0.0278,316.31
August,1,20:30,44,1,0.0167,306.58,256,3,0.0118,340.04,405,3,0.0063,333.74,213,2,0.0112,308.5
August,1,21:00,32,1,0.0236,326.06,213,2,0.0103,332.18,332,1,0.0026,339.2,168,10,0.0571,325.55
August,1,21:30,23,0,0.0036,324.62,177,2,0.0107,318.64,271,1,0.0035,336.2,154,6,0.0407,324.14
August,1,22:00,22,0,0.0,322.97,131,0,0.0031,328.83,223,1,0.0034,339.38,122,1,0.0085,314.2
August,1,22:30,15,2,0.1658,377.49,110,0,0.0024,304.68,173,0,0.0013,334.56,99,1,0.0053,304.57
August,1,23:00,12,1,0.1031,328.23,79,0,0.0018,323.5,131,0,0.0,321.6,77,0,0.003,301.03
August,1,23:30,9,1,0.0718,328.23,66,1,0.009,320.14,105,0,0.0,304.41,59,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,6,0,0.0,362.1,19,0,0.0247,324.21,12,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,5,0,0.0,362.1,23,1,0.0302,333.01,9,0,0.0077,326.6
August,1,3:00,1,0,0.0,328.23,6,0,0.0,362.1,15,0,0.0232,348.75,3,0,0.0617,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,18,0,0.0,348.75,1,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,14,0,0.0111,348.75,1,0,0.0,326.6
August,1,4:30,1,0,0.0,328.23,5,0,0.0,362.1,16,0,0.0059,327.59,1,0,0.0,326.6
August,1,5:00,1,0,0.0,328.23,3,0,0.0,362.1,18,0,0.0106,306.22,2,0,0.0,326.6
August,1,5:30,2,0,0.0,328.23,4,0,0.0,362.1,20,0,0.0108,329.07,2,0,0.0,326.6
August,1,6:00,3,0,0.0333,328.23,6,1,0.1486,362.1,39,0,0.0,289.2,12,0,0.0067,326.6
August,1,6:30,5,2,0.4581,328.23,8,6,0.7425,362.1,62,2,0.0328,269.33,27,2,0.0875,266.35
August,1,7:00,11,2,0.2107,328.23,38,0,0.0128,258.84,104,1,0.0078,274.99,45,1,0.0146,263.61
August,1,7:30,17,2,0.1361,347.33,57,2,0.0363,283.99,169,3,0.0158,269.27,76,1,0.0145,285.84
August,1,8:00,51,0,0.0043,283.37,115,0,0.0012,280.9,312,1,0.0048,289.03,141,1,0.0103,272.24
August,1,8:30,91,0,0.0025,291.36,158,1,0.0089,304.4,436,1,0.0033,308.38,194,3,0.0176,291.01
August,1,9:00,131,0,0.0008,307.96,236,2,0.0068,316.56,613,2,0.0027,314.14,268,2,0.0067,289.27
August,1,9:30,168,1,0.0053,310.78,291,2,0.0076,321.18,777,5,0.0067,306.58,336,7,0.0214,305.55
August,2,0:00,7,0,0.0409,316.72,51,1,0.0191,295.17,73,1,0.0077,322.45,44,0,0.0045,306.86
August,2,0:30,5,0,0.0,316.72,31,0,0.0,324.39,56,0,0.0,323.56,29,0,0.0035,316.98
August,2,10:00,116,1,0.0053,294.11,239,2,0.0103,309.35,561,2,0.0032,312.27,248,3,0.0122,293.97
August,2,10:30,144,0,0.0034,292.68,274,8,0.0282,319.76,630,3,0.0046,324.69,287,9,0.031,295.59
August,2,11:00,167,1,0.0064,300.93,316,3,0.0102,321.93,683,3,0.0051,326.7,327,5,0.0149,303.68
August,2,11:30,166,2,0.0133,296.4,360,7,0.0197,327.1,694,9,0.0126,333.07,340,3,0.0099,305.1
August,2,12:00,181,3,0.0146,301.21,369,4,0.0101,322.95,707,6,0.0078,333.92,357,2,0.0054,310.8
August,2,12:30,196,5,0.0263,302.84,386,8,0.0195,324.66,718,8,0.0114,331.76,369,7,0.0182,304.03
August,2,13:00,189,1,0.0063,305.99,409,11,0.026,326.18,703,7,0.0101,334.46,365,6,0.0157,312.07
