Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,45,0,0.0,316.66,87,0,0.0011,347.55,47,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,31,0,0.0,291.99,60,0,0.0047,318.98,33,0,0.0,304.75
August,1,10:00,192,1,0.0036,318.01,365,2,0.0054,330.64,905,10,0.0105,322.71,407,6,0.0136,302.41
August,1,10:30,233,1,0.0044,321.14,411,6,0.0157,328.16,1006,18,0.0182,328.58,446,10,0.0223,313.39
August,1,11:00,247,0,0.0015,321.83,453,6,0.0125,331.74,1072,5,0.0051,335.33,477,6,0.0134,314.06
August,1,11:30,255,0,0.0017,324.54,495,14,0.0282,345.4,1120,9,0.0082,333.44,508,10,0.0194,317.54
August,1,12:00,263,2,0.0063,309.98,550,5,0.0098,336.05,1147,19,0.0167,335.67,519,9,0.0171,311.72
August,1,12:30,262,2,0.0061,323.22,554,8,0.0136,344.63,1146,19,0.0167,340.4,528,6,0.0112,324.18
August,1,13:00,260,2,0.0092,329.46,572,7,0.0115,336.64,1131,11,0.0096,344.59,525,10,0.019,320.97
August,1,13:30,267,1,0.0027,327.38,576,9,0.0149,334.69,1131,13,0.0115,344.92,538,8,0.0157,321.75
August,1,14:00,267,0,0.0017,318.77,602,11,0.0176,344.86,1155,13,0.0114,345.48,551,7,0.0122,317.02
August,1,14:30,277,1,0.005,327.79,612,12,0.0196,341.6,1144,14,0.0121,344.74,551,16,0.0284,324.72
August,1,15:00,272,2,0.0069,316.3,621,4,0.0066,346.79,1134,13,0.0117,345.2,549,14,0.0259,327.76
August,1,15:30,276,3,0.0112,326.83,612,5,0.0086,340.58,1123,19,0.0169,346.46,545,14,0.0248,321.12
August,1,16:00,266,1,0.0025,331.17,612,6,0.0104,352.19,1108,6,0.0058,348.15,562,6,0.011,326.04
August,1,16:30,249,1,0.0023,330.59,587,5,0.0092,342.25,1059,5,0.0043,348.59,534,7,0.0122,319.68
August,1,17:00,219,1,0.006,330.23,562,5,0.0092,344.49,994,7,0.0068,344.52,498,4,0.0077,332.68
August,1,17:30,193,1,0.0051,326.69,517,4,0.0081,349.55,916,7,0.0071,347.39,458,7,0.0155,321.81
August,1,18:00,168,1,0.0046,320.23,479,7,0.0137,351.95,818,7,0.0089,349.06,413,2,0.0052,316.61
August,1,18:30,138,1,0.0063,347.32,422,3,0.0081,336.4,740,3,0.0046,347.39,364,4,0.0106,314.15
August,1,19:00,99,0,0.0034,349.3,390,6,0.0157,340.1,651,6,0.0089,340.22,323,5,0.0156,318.96
August,1,19:30,75,0,0.0026,325.21,337,2,0.0062,324.77,572,5,0.0086,347.3,288,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,15,0,0.0174,362.1,45,1,0.0112,332.11,25,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,9,0,0.0236,362.1,33,0,0.0,302.66,18,0,0.0182,316.69
August,1,20:00,58,0,0.0075,340.58,290,3,0.0111,334.83,488,9,0.0183,342.31,246,7,0.0278,316.31
August,1,20:30,46,1,0.0167,306.58,260,3,0.0118,340.04,419,3,0.0063,333.74,218,2,0.0112,308.5
August,1,21:00,34,1,0.0236,326.06,218,2,0.0103,332.18,347,1,0.0026,339.2,178,10,0.0571,325.55
August,1,21:30,25,0,0.0036,324.62,181,2,0.0107,318.64,284,1,0.0035,336.2,157,6,0.0407,324.14
August,1,22:00,22,0,0.0,322.97,139,0,0.0031,328.83,232,1,0.0034,339.38,127,1,0.0085,314.2
