Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,42,0,0.0,316.66,87,0,0.0011,347.55,46,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,30,0,0.0,291.99,58,0,0.0047,318.98,32,0,0.0,304.75
August,1,10:00,182,1,0.0036,318.01,369,2,0.0054,330.64,878,9,0.0105,322.71,409,6,0.0136,302.41
August,1,10:30,234,1,0.0044,321.14,414,6,0.0157,328.16,998,18,0.0182,328.58,441,10,0.0223,313.39
August,1,11:00,243,0,0.0015,321.83,448,6,0.0125,331.74,1049,5,0.0051,335.33,467,6,0.0134,314.06
August,1,11:30,249,0,0.0017,324.54,490,14,0.0282,345.4,1106,9,0.0082,333.44,505,10,0.0194,317.54
August,1,12:00,260,2,0.0063,309.98,558,5,0.0098,336.05,1117,19,0.0167,335.67,506,9,0.0171,311.72
August,1,12:30,259,2,0.0061,323.22,554,8,0.0136,344.63,1135,19,0.0167,340.4,516,6,0.0112,324.18
August,1,13:00,255,2,0.0092,329.46,573,7,0.0115,336.64,1110,11,0.0096,344.59,516,10,0.019,320.97
August,1,13:30,265,1,0.0027,327.38,563,8,0.0149,334.69,1099,13,0.0115,344.92,528,8,0.0157,321.75
August,1,14:00,259,0,0.0017,318.77,597,11,0.0176,344.86,1142,13,0.0114,345.48,547,7,0.0122,317.02
August,1,14:30,274,1,0.005,327.79,613,12,0.0196,341.6,1121,14,0.0121,344.74,548,16,0.0284,324.72
August,1,15:00,263,2,0.0069,316.3,617,4,0.0066,346.79,1105,13,0.0117,345.2,546,14,0.0259,327.76
August,1,15:30,272,3,0.0112,326.83,609,5,0.0086,340.58,1111,19,0.0169,346.46,534,13,0.0248,321.12
August,1,16:00,263,1,0.0025,331.17,619,6,0.0104,352.19,1090,6,0.0058,348.15,571,6,0.011,326.04
August,1,16:30,247,1,0.0023,330.59,586,5,0.0092,342.25,1042,4,0.0043,348.59,538,7,0.0122,319.68
August,1,17:00,216,1,0.006,330.23,554,5,0.0092,344.49,978,7,0.0068,344.52,493,4,0.0077,332.68
August,1,17:30,188,1,0.0051,326.69,515,4,0.0081,349.55,901,6,0.0071,347.39,450,7,0.0155,321.81
August,1,18:00,167,1,0.0046,320.23,483,7,0.0137,351.95,806,7,0.0089,349.06,405,2,0.0052,316.61
August,1,18:30,136,1,0.0063,347.32,412,3,0.0081,336.4,720,3,0.0046,347.39,354,4,0.0106,314.15
August,1,19:00,92,0,0.0034,349.3,387,6,0.0157,340.1,640,6,0.0089,340.22,315,5,0.0156,318.96
August,1,19:30,70,0,0.0026,325.21,335,2,0.0062,324.77,559,5,0.0086,347.3,282,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,11,0,0.0174,362.1,43,0,0.0112,332.11,24,0,0.0046,358.88
