Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,328.23,33,0,0.0,316.66,76,0,0.0011,347.55,42,0,0.0026,325.27
August,1,0:30,4,0,0.0,328.23,24,0,0.0,291.99,51,0,0.0047,318.98,29,0,0.0,304.75
August,1,10:00,152,1,0.0036,318.01,294,2,0.0054,330.64,767,8,0.0105,322.71,377,5,0.0136,302.41
August,1,10:30,197,1,0.0044,321.14,329,5,0.0157,328.16,869,16,0.0182,328.58,407,9,0.0223,313.39
August,1,11:00,205,0,0.0015,321.83,357,4,0.0125,331.74,910,5,0.0051,335.33,432,6,0.0134,314.06
August,1,11:30,210,0,0.0017,324.54,393,11,0.0282,345.4,960,8,0.0082,333.44,465,9,0.0194,317.54
August,1,12:00,219,1,0.0063,309.98,445,4,0.0098,336.05,980,16,0.0167,335.67,469,8,0.0171,311.72
August,1,12:30,217,1,0.0061,323.22,441,6,0.0136,344.63,983,16,0.0167,340.4,480,5,0.0112,324.18
August,1,13:00,213,2,0.0092,329.46,455,5,0.0115,336.64,960,9,0.0096,344.59,473,9,0.019,320.97
August,1,13:30,223,1,0.0027,327.38,449,7,0.0149,334.69,960,11,0.0115,344.92,489,8,0.0157,321.75
August,1,14:00,218,0,0.0017,318.77,476,8,0.0176,344.86,995,11,0.0114,345.48,504,6,0.0122,317.02
August,1,14:30,231,1,0.005,327.79,487,10,0.0196,341.6,978,12,0.0121,344.74,505,14,0.0284,324.72
August,1,15:00,222,2,0.0069,316.3,494,3,0.0066,346.79,968,11,0.0117,345.2,502,13,0.0259,327.76
August,1,15:30,229,3,0.0112,326.83,485,4,0.0086,340.58,966,16,0.0169,346.46,493,12,0.0248,321.12
August,1,16:00,222,1,0.0025,331.17,487,5,0.0104,352.19,946,5,0.0058,348.15,522,6,0.011,326.04
August,1,16:30,207,0,0.0023,330.59,466,4,0.0092,342.25,903,4,0.0043,348.59,494,6,0.0122,319.68
August,1,17:00,181,1,0.006,330.23,444,4,0.0092,344.49,850,6,0.0068,344.52,452,3,0.0077,332.68
August,1,17:30,158,1,0.0051,326.69,410,3,0.0081,349.55,787,6,0.0071,347.39,416,6,0.0155,321.81
August,1,18:00,141,1,0.0046,320.23,382,5,0.0137,351.95,699,6,0.0089,349.06,375,2,0.0052,316.61
August,1,18:30,115,1,0.0063,347.32,329,3,0.0081,336.4,629,3,0.0046,347.39,328,3,0.0106,314.15
August,1,19:00,78,0,0.0034,349.3,310,5,0.0157,340.1,556,5,0.0089,340.22,292,5,0.0156,318.96
August,1,19:30,59,0,0.0026,325.21,267,2,0.0062,324.77,488,4,0.0086,347.3,262,6,0.024,322.5
August,1,1:00,3,0,0.0,328.23,9,0,0.0174,362.1,37,0,0.0112,332.11,23,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,6,0,0.0236,362.1,27,0,0.0,302.66,16,0,0.0182,316.69
August,1,20:00,46,0,0.0075,340.58,226,3,0.0111,334.83,407,7,0.0183,342.31,220,6,0.0278,316.31
August,1,20:30,37,1,0.0167,306.58,208,2,0.0118,340.04,351,2,0.0063,333.74,198,2,0.0112,308.5
August,1,21:00,26,1,0.0236,326.06,175,2,0.0103,332.18,292,1,0.0026,339.2,158,9,0.0571,325.55
August,1,21:30,20,0,0.0036,324.62,141,2,0.0107,318.64,239,1,0.0035,336.2,146,6,0.0407,324.14
August,1,22:00,18,0,0.0,322.97,107,0,0.0031,328.83,195,1,0.0034,339.38,113,1,0.0085,314.2
August,1,22:30,13,2,0.1658,328.23,89,0,0.0024,304.68,153,0,0.0013,334.56,92,0,0.0053,304.57
August,1,23:00,10,1,0.1031,328.23,62,0,0.0018,323.5,117,0,0.0,321.6,70,0,0.003,301.03
August,1,23:30,8,1,0.0718,328.23,54,0,0.009,320.14,91,0,0.0,304.41,55,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,5,0,0.0,362.1,17,0,0.0247,324.21,11,0,0.03,326.6
August,1,2:30,1,0,0.0,328.23,3,0,0.0,362.1,20,1,0.0302,333.01,9,0,0.0077,326.6
August,1,3:00,2,0,0.0,328.23,4,0,0.0,362.1,11,0,0.0232,348.75,3,0,0.0617,326.6
August,1,3:30,2,0,0.0,328.23,3,0,0.0,362.1,12,0,0.0,348.75,1,0,0.0,326.6
August,1,4:00,1,0,0.0,328.23,3,0,0.0,362.1,12,0,0.0111,348.75,1,0,0.0,326.6
August,1,4:30,1,0,0.0,328.23,4,0,0.0,362.1,13,0,0.0059,348.75,1,0,0.0,326.6
August,1,5:00,1,0,0.0,328.23,3,0,0.0,362.1,16,0,0.0106,306.22,1,0,0.0,326.6
August,1,5:30,2,0,0.0,328.23,3,0,0.0,362.1,18,0,0.0108,329.07,1,0,0.0,326.6
August,1,6:00,3,0,0.0333,328.23,5,1,0.1486,362.1,34,0,0.0,289.2,11,0,0.0067,326.6
August,1,6:30,4,2,0.4581,328.23,7,5,0.7425,362.1,55,2,0.0328,269.33,25,2,0.0875,266.35
August,1,7:00,9,2,0.2107,328.23,32,0,0.0128,258.84,91,1,0.0078,274.99,44,1,0.0146,263.61
August,1,7:30,15,2,0.1361,347.33,45,2,0.0363,283.99,149,2,0.0158,269.27,72,1,0.0145,285.84
August,1,8:00,42,0,0.0043,283.37,93,0,0.0012,280.9,273,1,0.0048,289.03,132,1,0.0103,272.24
August,1,8:30,76,0,0.0025,291.36,126,1,0.0089,304.4,385,1,0.0033,308.38,182,3,0.0176,291.01
August,1,9:00,111,0,0.0008,307.96,190,1,0.0068,316.56,543,1,0.0027,314.14,251,2,0.0067,289.27
August,1,9:30,141,1,0.0053,310.78,234,2,0.0076,321.18,681,5,0.0067,306.58,314,7,0.0214,305.55
August,2,0:00,6,0,0.0409,316.72,40,1,0.0191,295.17,67,1,0.0077,322.45,42,0,0.0045,306.86
August,2,0:30,5,0,0.0,316.72,24,0,0.0,324.39,51,0,0.0,323.56,27,0,0.0035,316.98
August,2,10:00,102,1,0.0053,294.11,190,2,0.0103,309.35,512,2,0.0032,312.27,234,3,0.0122,293.97
August,2,10:30,126,0,0.0034,292.68,221,6,0.0282,319.76,580,3,0.0046,324.69,274,8,0.031,295.59
August,2,11:00,146,1,0.0064,300.93,254,3,0.0102,321.93,629,3,0.0051,326.7,310,5,0.0149,303.68
August,2,11:30,145,2,0.0133,296.4,290,6,0.0197,327.1,643,8,0.0126,333.07,323,3,0.0099,305.1
August,2,12:00,158,2,0.0146,301.21,297,3,0.0101,322.95,651,5,0.0078,333.92,340,2,0.0054,310.8
August,2,12:30,173,5,0.0263,302.84,310,6,0.0195,324.66,658,8,0.0114,331.76,352,6,0.0182,304.03
August,2,13:00,167,1,0.0063,305.99,324,8,0.026,326.18,642,6,0.0101,334.46,349,5,0.0157,312.07
August,2,13:30,165,0,0.0019,307.74,346,10,0.0294,321.9,654,14,0.0209,334.26,352,7,0.0193,307.96
August,2,14:00,157,1,0.0073,312.99,354,14,0.0395,329.08,647,9,0.0132,335.49,348,3,0.0099,305.59
August,2,14:30,159,1,0.0094,308.65,348,10,0.0276,334.57,642,4,0.0056,331.14,358,11,0.0318,314.27
August,2,15:00,157,0,0.0028,306.53,341,4,0.0119,325.37,606,0,0.0006,339.28,343,4,0.0117,299.86
August,2,15:30,161,1,0.0037,311.49,337,3,0.0095,319.47,591,0,0.0008,335.99,326,3,0.0084,299.98
August,2,16:00,151,1,0.0038,325.16,331,3,0.0076,333.05,568,1,0.0015,336.14,315,2,0.0079,313.0
August,2,16:30,136,0,0.0019,296.18,313,2,0.0067,338.64,527,1,0.0011,335.26,289,1,0.0045,306.5
August,2,17:00,126,2,0.0188,308.84,303,2,0.0051,333.15,493,1,0.0022,336.83,270,2,0.0065,308.2
August,2,17:30,107,1,0.0091,316.01,284,3,0.0102,336.97,476,1,0.0014,333.6,258,1,0.0023,309.87
August,2,18:00,102,1,0.0072,321.6,259,5,0.0188,343.89,449,1,0.0031,331.89,242,1,0.0034,309.24
August,2,18:30,86,1,0.0074,330.01,238,4,0.0181,333.73,413,2,0.0045,339.84,213,0,0.0009,324.27
August,2,19:00,65,0,0.0028,320.83,212,4,0.0169,332.95,370,2,0.0062,330.84,205,1,0.0042,318.4
August,2,19:30,51,0,0.0063,328.3,189,1,0.0074,318.74,330,5,0.0161,328.84,180,1,0.0028,322.18
August,2,1:00,4,0,0.0222,316.72,10,1,0.0682,351.69,37,0,0.006,314.5,23,0,0.0,323.53
